class,canonical,status,oc_names,swift_names,oc_support_names,oc_files,swift_files,oc_support_files
UIDocumentPickerViewController,directoryurl,swift_only,,byDirectoryURL,,,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIDocumentPickerViewController/UIDocumentPickerViewController+DSL.swift:120; JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIDocumentPickerViewController/UIDocumentPickerViewController+DSL.swift:93,
UIDocumentPickerViewController,shouldshowfileextensions,swift_only,,byShouldShowFileExtensions,,,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIDocumentPickerViewController/UIDocumentPickerViewController+DSL.swift:114; JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIDocumentPickerViewController/UIDocumentPickerViewController+DSL.swift:87,
UIEdgeInsets,bottom,swift_only,,byBottom,,,JobsByPods/JobsByUIKit@Pods/iOS.SDK/Others@SDK/UIEdgeInsets.swift:29,
UIEdgeInsets,left,swift_only,,byLeft,,,JobsByPods/JobsByUIKit@Pods/iOS.SDK/Others@SDK/UIEdgeInsets.swift:23,
UIEdgeInsets,right,swift_only,,byRight,,,JobsByPods/JobsByUIKit@Pods/iOS.SDK/Others@SDK/UIEdgeInsets.swift:35,
UIEdgeInsets,top,swift_only,,byTop,,,JobsByPods/JobsByUIKit@Pods/iOS.SDK/Others@SDK/UIEdgeInsets.swift:17,
UIFont,make,swift_only,,make,,,JobsByPods/JobsByUIKit@Pods/iOS.SDK/UIFont/UIFont+PingFangSC.swift:61; JobsByPods/JobsByUIKit@Pods/iOS.SDK/UIFont/UIFont+SFPro.swift:116; JobsByPods/JobsByUIKit@Pods/iOS.SDK/UIFont/UIFont+SFPro.swift:70,
UIGestureRecognizer,action,swift_only,,byAction,,,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIGestureRecognizer/UIGestureRecognizer+Block.swift:54,
UIGestureRecognizer,addaction,oc_only,addAction,,addAction,JobsByPods/JobsOCDSL@Pods/Support/UIKit/UIGestureRecognizer/UIGestureRecognizer+Extra/UIGestureRecognizer+Extra.h:36; JobsByPods/JobsOCDSL@Pods/Support/UIKit/UIGestureRecognizer/UIGestureRecognizer+Extra/UIGestureRecognizer+Extra.m:47,,JobsByPods/JobsBaseUI@Pods/Support/UIKit/UIGestureRecognizer/UIGestureRecognizer+Extra/UIGestureRecognizer+Extra.h:46; JobsByPods/JobsBaseUI@Pods/Support/UIKit/UIGestureRecognizer/UIGestureRecognizer+Extra/UIGestureRecognizer+Extra.m:32; JobsByPods/JobsByOCPods@Pods/Core/UIKit/UIGestureRecognizer/UIGestureRecognizer+Extra/UIGestureRecognizer+Extra.h:46; JobsByPods/JobsByOCPods@Pods/Core/UIKit/UIGestureRecognizer/UIGestureRecognizer+Extra/UIGestureRecognizer+Extra.m:32
UIGestureRecognizer,allowedpresstypes,aligned,byAllowedPressTypes,byAllowedPressTypes,,JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIGestureRecognizer+DSLs/UIGestureRecognizer+DSL/UIGestureRecognizer+DSL.h:30; JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIGestureRecognizer+DSLs/UIGestureRecognizer+DSL/UIGestureRecognizer+DSL.m:68,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIGestureRecognizer/UIGestureRecognizer+DSL.swift:72,
